n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
25,0.2,3,42,manhattan,8,"[[-0.15242065  9.969633    3.5293536 ]
 [-6.4558      1.4839363  19.612194  ]
 [-4.507351   -0.5501552  17.874022  ]
 ...
 [-5.3294725   6.8484597  29.218716  ]
 [ 1.0582653  10.91803    25.42134   ]
 [-5.135885   -0.9924133  25.536764  ]]"
30,0.2,3,42,manhattan,8,"[[ -1.3623493   11.609047     5.867131  ]
 [-15.776213     5.536043     1.9175224 ]
 [ -7.195694     0.43577614  -6.306136  ]
 ...
 [-14.436991    12.719326    -6.8498855 ]
 [ -3.7304013    7.4635277  -13.591856  ]
 [-15.554354     6.028397    -6.2300463 ]]"
5,0.3,3,42,manhattan,8,"[[ 4.9554005  -6.031286   -0.12772514]
 [ 4.573185    0.87105733 -2.8690183 ]
 [ 9.5244875  -1.9397423  -3.180506  ]
 ...
 [-1.5436108   0.7913547  -6.2746043 ]
 [ 1.6694987  -5.0419626   5.2434945 ]
 [-2.2446945   4.355562   -5.4367366 ]]"
10,0.3,3,42,manhattan,8,"[[12.962605    2.3473423  -1.6851573 ]
 [ 1.4822193   5.518602    3.0860546 ]
 [ 0.22098209  1.7117406   0.70978004]
 ...
 [ 6.5517235   0.6164371   7.260851  ]
 [11.660438    2.0544548  12.771468  ]
 [ 2.6029058   2.4524596  13.641519  ]]"
15,0.3,3,42,manhattan,8,"[[ 5.074234   1.099748   2.446049 ]
 [17.868088  -5.602611   6.047618 ]
 [14.357587  -8.87001    5.3199854]
 ...
 [19.198433   0.8557445 10.608875 ]
 [ 6.9560575 -2.1513977 15.327568 ]
 [12.278932  -4.1976967 11.533894 ]]"
20,0.3,3,42,manhattan,8,"[[ 8.380807   1.2611315  2.9925017]
 [ 3.8245184 17.071898  -1.5948554]
 [ 3.6137123 14.63242   -6.08987  ]
 ...
 [ 3.5920236 18.191576   8.664697 ]
 [ 5.5557666 11.547823  14.840953 ]
 [ 9.6814165 18.942684   5.537875 ]]"
25,0.3,3,42,manhattan,8,"[[  0.1405693   8.232068    4.811619 ]
 [-12.979688    3.8983564  21.099752 ]
 [-14.825238   12.542742   17.663088 ]
 ...
 [ -8.942008    6.848446   26.762648 ]
 [ -3.9316676   6.486268   27.17688  ]
 [ -8.378558   -1.60314    21.565083 ]]"
30,0.3,3,42,manhattan,8,"[[ -0.28524792  11.836557     5.5393987 ]
 [-13.18622     -0.45779204  -8.701646  ]
 [-16.373484     7.508397    -7.176836  ]
 ...
 [-17.128635     9.9122505  -12.300799  ]
 [ -7.7498627   10.698877   -16.154896  ]
 [-11.02828      4.7024236  -13.132448  ]]"
5,0.4,3,42,manhattan,8,"[[11.115981    0.40103358 -1.9633765 ]
 [ 3.1327515  -1.0136725   0.3160213 ]
 [ 8.669031   -1.5717244  -2.1186643 ]
 ...
 [-1.6473926  -6.247501   -2.6865463 ]
 [ 3.6303291   3.5297291  -4.9772654 ]
 [ 0.8314255   0.20628357 -9.340212  ]]"
10,0.4,3,42,manhattan,8,"[[11.81773     1.8894671  -2.8544912 ]
 [ 1.5917733   4.6696253   3.0538743 ]
 [ 0.8609747   0.56587875  0.42942   ]
 ...
 [ 7.849969    6.8413      8.683746  ]
 [10.928139    1.191774   12.349419  ]
 [ 2.3438053   3.4483688  13.124254  ]]"
15,0.4,3,42,manhattan,8,"[[ 6.0896087   0.87990737  2.263594  ]
 [18.048166   -5.4158497   7.397611  ]
 [13.922553   -8.410385    6.706017  ]
 ...
 [17.892918    0.46343786 14.377046  ]
 [ 6.116301   -0.81802285 14.264208  ]
 [10.909482   -5.5866776  12.001625  ]]"
20,0.4,3,42,manhattan,8,"[[ 8.911277    2.1297486   3.0053277 ]
 [ 3.4018543  17.069777    1.1167753 ]
 [ 0.03361385 13.164848    3.8774235 ]
 ...
 [ 3.613963   19.33848     8.683726  ]
 [ 4.140131   14.09313    14.566751  ]
 [ 8.955139   17.004766    7.048927  ]]"
25,0.4,3,42,manhattan,8,"[[ -1.0833459   7.8081527   5.912254 ]
 [-12.191612    1.1130887  18.872417 ]
 [-16.044569    4.2175674  14.98757  ]
 ...
 [ -6.690496    1.9741142  25.010374 ]
 [ -2.2789192   4.3527117  25.588436 ]
 [ -6.1358128  -3.4218671  18.812763 ]]"
30,0.4,3,42,manhattan,8,"[[ -0.5473127  11.483796    4.1590686]
 [-18.789541    4.56293    -7.8243933]
 [-18.427546   10.402768   -7.7673206]
 ...
 [ -9.935456    5.099854  -10.352886 ]
 [-12.783302   14.277871  -12.986474 ]
 [-17.698715    5.981493  -15.470124 ]]"
5,0.5,3,42,manhattan,8,"[[-1.8013154  -6.6244082  -1.0673578 ]
 [ 4.220904    1.6073744  -0.7124335 ]
 [ 7.0933714  -5.580732   -0.5251874 ]
 ...
 [ 0.27676815 -4.5320463  -3.9916506 ]
 [ 2.1385243   1.220348   -5.8946323 ]
 [ 1.0887423   3.9637527  -8.061631  ]]"
